"vary","value","sim","sensitivity","specificity","fdr","n_selected"
"days",30,47,1,0.252631578947368,0.934210526315789,76
"days",30,48,0.8,0.294736842105263,0.943661971830986,71
"days",30,49,1,0.0315789473684211,0.948453608247423,97
"days",30,50,0.8,0.105263157894737,0.955056179775281,89
"days",60,1,1,0.231578947368421,0.935897435897436,78
"days",60,2,1,0.221052631578947,0.936708860759494,79
"days",60,3,0.4,0.368421052631579,0.967741935483871,62
"days",60,4,1,0.2,0.938271604938272,81
"days",60,5,0.8,0.168421052631579,0.951807228915663,83
"days",60,6,0.8,0.168421052631579,0.951807228915663,83
"days",60,7,1,0.389473684210526,0.920634920634921,63
"days",60,8,0.8,0.305263157894737,0.942857142857143,70
"days",60,9,1,0.231578947368421,0.935897435897436,78
"days",60,10,1,0.305263157894737,0.929577464788732,71
"days",60,11,1,0.210526315789474,0.9375,80
"days",60,12,0.8,0.357894736842105,0.938461538461538,65
"days",60,13,0.8,0.315789473684211,0.942028985507246,69
"days",60,14,0.8,0.189473684210526,0.950617283950617,81
"days",60,15,0.6,0.347368421052632,0.953846153846154,65
"days",60,16,0.8,0.2,0.95,80
"days",60,17,0.8,0.231578947368421,0.948051948051948,77
"days",60,18,1,0.210526315789474,0.9375,80
"days",60,19,1,0.105263157894737,0.944444444444444,90
"days",60,20,0.8,0.357894736842105,0.938461538461538,65
"days",60,21,0.8,0.515789473684211,0.92,50
"days",60,22,0.8,0.242105263157895,0.947368421052632,76
"days",60,23,0.8,0.210526315789474,0.949367088607595,79
"days",60,24,0.4,0.147368421052632,0.975903614457831,83
"days",60,25,1,0.294736842105263,0.930555555555556,72
"days",60,26,1,0.294736842105263,0.930555555555556,72
"days",60,27,0.8,0.178947368421053,0.951219512195122,82
"days",60,28,0.8,0.273684210526316,0.945205479452055,73
"days",60,29,1,0.105263157894737,0.944444444444444,90
"days",60,30,0.8,0.305263157894737,0.942857142857143,70
"days",60,31,0.8,0.273684210526316,0.945205479452055,73
"days",60,32,0.8,0.157894736842105,0.952380952380952,84
"days",60,33,1,0.210526315789474,0.9375,80
"days",60,34,1,0.105263157894737,0.944444444444444,90
"days",60,35,0.8,0.294736842105263,0.943661971830986,71
"days",60,36,0.8,0.2,0.95,80
"days",60,37,1,0.252631578947368,0.934210526315789,76
"days",60,38,1,0.105263157894737,0.944444444444444,90
"days",60,39,0.6,0.473684210526316,0.943396226415094,53
"days",60,40,1,0.484210526315789,0.907407407407407,54
"days",60,41,0.6,0.189473684210526,0.9625,80
"days",60,42,0.8,0.315789473684211,0.942028985507246,69
"days",60,43,0.4,0.242105263157895,0.972972972972973,74
"days",60,44,0.8,0.189473684210526,0.950617283950617,81
"days",60,45,0.8,0.252631578947368,0.946666666666667,75
"days",60,46,0.6,0.263157894736842,0.958904109589041,73
"days",60,47,0.8,0.242105263157895,0.947368421052632,76
"days",60,48,0.8,0.326315789473684,0.941176470588235,68
"days",60,49,1,0.410526315789474,0.918032786885246,61
"days",60,50,0.6,0.0842105263157895,0.966666666666667,90
"days",90,1,1,0.284210526315789,0.931506849315068,73
"days",90,2,0.8,0.284210526315789,0.944444444444444,72
"days",90,3,1,0.315789473684211,0.928571428571429,70
"days",90,4,1,0.357894736842105,0.924242424242424,66
"days",90,5,0.6,0.4,0.95,60
"days",90,6,1,0.178947368421053,0.939759036144578,83
"days",90,7,1,0.136842105263158,0.942528735632184,87
"days",90,8,1,0.168421052631579,0.94047619047619,84
"days",90,9,1,0.421052631578947,0.916666666666667,60
"days",90,10,0.8,0.357894736842105,0.938461538461538,65
"days",90,11,0.8,0.389473684210526,0.935483870967742,62
"days",90,12,1,0.242105263157895,0.935064935064935,77
"days",90,13,1,0.136842105263158,0.942528735632184,87
"days",90,14,1,0.221052631578947,0.936708860759494,79
"days",90,15,0.6,0.126315789473684,0.965116279069767,86
"days",90,16,1,0.284210526315789,0.931506849315068,73
"days",90,17,1,0.231578947368421,0.935897435897436,78
"days",90,18,1,0.463157894736842,0.910714285714286,56
"days",90,19,0.8,0.347368421052632,0.939393939393939,66
"days",90,20,1,0.178947368421053,0.939759036144578,83
"days",90,21,1,0.147368421052632,0.941860465116279,86
"days",90,22,1,0.442105263157895,0.913793103448276,58
"days",90,23,1,0.231578947368421,0.935897435897436,78
"days",90,24,1,0.2,0.938271604938272,81
"days",90,25,1,0.263157894736842,0.933333333333333,75
"days",90,26,1,0.221052631578947,0.936708860759494,79
"days",90,27,1,0.136842105263158,0.942528735632184,87
"days",90,28,1,0.515789473684211,0.901960784313726,51
"days",90,29,1,0.273684210526316,0.932432432432432,74
"days",90,30,1,0.168421052631579,0.94047619047619,84
"days",90,31,1,0.305263157894737,0.929577464788732,71
"days",90,32,0.6,0.221052631578947,0.961038961038961,77
"days",90,33,1,0.389473684210526,0.920634920634921,63
"days",90,34,1,0.252631578947368,0.934210526315789,76
"days",90,35,0.8,0.431578947368421,0.931034482758621,58
"days",90,36,0.8,0.378947368421053,0.936507936507937,63
"days",90,37,0.8,0.294736842105263,0.943661971830986,71
"days",90,38,1,0.347368421052632,0.925373134328358,67
"days",90,39,0.8,0.231578947368421,0.948051948051948,77
"days",90,40,1,0.284210526315789,0.931506849315068,73
"days",90,41,1,0.284210526315789,0.931506849315068,73
"days",90,42,1,0.189473684210526,0.939024390243902,82
"days",90,43,1,0.178947368421053,0.939759036144578,83
"days",90,44,1,0.410526315789474,0.918032786885246,61
"days",90,45,0.8,0.326315789473684,0.941176470588235,68
"days",90,46,1,0.705263157894737,0.848484848484849,33
"days",90,47,1,0.336842105263158,0.926470588235294,68
"days",90,48,0.8,0.231578947368421,0.948051948051948,77
"days",90,49,1,0.263157894736842,0.933333333333333,75
"days",90,50,1,0.231578947368421,0.935897435897436,78
"days",180,1,1,0.231578947368421,0.935897435897436,78
"days",180,2,1,0.210526315789474,0.9375,80
"days",180,3,1,0.178947368421053,0.939759036144578,83
"days",180,4,1,0.252631578947368,0.934210526315789,76
"days",180,5,1,0.578947368421053,0.888888888888889,45
"days",180,6,0.8,0.326315789473684,0.941176470588235,68
"days",180,7,1,0.305263157894737,0.929577464788732,71
"days",180,8,1,0.315789473684211,0.928571428571429,70
"days",180,9,1,0.526315789473684,0.9,50
"days",180,10,1,0.505263157894737,0.903846153846154,52
"days",180,11,1,0.515789473684211,0.901960784313726,51
"days",180,12,1,0.4,0.919354838709677,62
"days",180,13,1,0.684210526315789,0.857142857142857,35
"days",180,14,1,0.452631578947368,0.912280701754386,57
"days",180,15,1,0.221052631578947,0.936708860759494,79
"days",180,16,0.8,0.452631578947368,0.928571428571429,56
"days",180,17,1,0.2,0.938271604938272,81
"days",180,18,1,0.178947368421053,0.939759036144578,83
"days",180,19,0.8,0.421052631578947,0.932203389830508,59
"days",180,20,1,0.484210526315789,0.907407407407407,54
"days",180,21,1,0.315789473684211,0.928571428571429,70
"days",180,22,1,0.442105263157895,0.913793103448276,58
"days",180,23,1,0.284210526315789,0.931506849315068,73
"days",180,24,1,0.263157894736842,0.933333333333333,75
"days",180,25,1,0.494736842105263,0.905660377358491,53
"days",180,26,1,0.452631578947368,0.912280701754386,57
