"households","sim","method","sensitivity","false_positives","n_significant","observed_fdr"
5,46,"Strict mediation",0,6,6,1
5,47,"Standard (total FDR<0.05)",0.4,7,9,0.777777777777778
5,47,"Adjusted (direct FDR<0.05)",0.4,2,4,0.5
5,47,"Mediation (Direct class)",0.2,2,3,0.666666666666667
5,47,"Strict mediation",0,1,1,1
5,48,"Standard (total FDR<0.05)",1,22,27,0.814814814814815
5,48,"Adjusted (direct FDR<0.05)",0.4,4,6,0.666666666666667
5,48,"Mediation (Direct class)",0.4,4,6,0.666666666666667
5,48,"Strict mediation",0,3,3,1
5,49,"Standard (total FDR<0.05)",0.6,18,21,0.857142857142857
5,49,"Adjusted (direct FDR<0.05)",0.4,17,19,0.894736842105263
5,49,"Mediation (Direct class)",0.2,10,11,0.909090909090909
5,49,"Strict mediation",0,2,2,1
5,50,"Standard (total FDR<0.05)",0.6,22,25,0.88
5,50,"Adjusted (direct FDR<0.05)",0.4,8,10,0.8
5,50,"Mediation (Direct class)",0.4,8,10,0.8
5,50,"Strict mediation",0,2,2,1
10,1,"Standard (total FDR<0.05)",1,23,28,0.821428571428571
10,1,"Adjusted (direct FDR<0.05)",0.8,12,16,0.75
10,1,"Mediation (Direct class)",0.8,11,15,0.733333333333333
10,1,"Strict mediation",0,5,5,1
10,2,"Standard (total FDR<0.05)",1,26,31,0.838709677419355
10,2,"Adjusted (direct FDR<0.05)",0.6,11,14,0.785714285714286
10,2,"Mediation (Direct class)",0.4,5,7,0.714285714285714
10,2,"Strict mediation",0,3,3,1
10,3,"Standard (total FDR<0.05)",0.6,13,16,0.8125
10,3,"Adjusted (direct FDR<0.05)",0.4,2,4,0.5
10,3,"Mediation (Direct class)",0.4,1,3,0.333333333333333
10,3,"Strict mediation",0,1,1,1
10,4,"Standard (total FDR<0.05)",1,20,25,0.8
10,4,"Adjusted (direct FDR<0.05)",0.4,2,4,0.5
10,4,"Mediation (Direct class)",0.4,2,4,0.5
10,4,"Strict mediation",0,1,1,1
10,5,"Standard (total FDR<0.05)",1,15,20,0.75
10,5,"Adjusted (direct FDR<0.05)",0.8,12,16,0.75
10,5,"Mediation (Direct class)",0.8,8,12,0.666666666666667
10,5,"Strict mediation",0,3,3,1
10,6,"Standard (total FDR<0.05)",0.4,25,27,0.925925925925926
10,6,"Adjusted (direct FDR<0.05)",0.2,14,15,0.933333333333333
10,6,"Mediation (Direct class)",0.2,13,14,0.928571428571429
10,6,"Strict mediation",0,6,6,1
10,7,"Standard (total FDR<0.05)",1,12,17,0.705882352941177
10,7,"Adjusted (direct FDR<0.05)",0.6,5,8,0.625
10,7,"Mediation (Direct class)",0.6,5,8,0.625
10,7,"Strict mediation",0,4,4,1
10,8,"Standard (total FDR<0.05)",1,20,25,0.8
10,8,"Adjusted (direct FDR<0.05)",0.8,6,10,0.6
10,8,"Mediation (Direct class)",0.8,5,9,0.555555555555556
10,8,"Strict mediation",0,2,2,1
10,9,"Standard (total FDR<0.05)",1,21,26,0.807692307692308
10,9,"Adjusted (direct FDR<0.05)",0.8,7,11,0.636363636363636
10,9,"Mediation (Direct class)",0.8,7,11,0.636363636363636
10,9,"Strict mediation",0,4,4,1
10,10,"Standard (total FDR<0.05)",0.6,35,38,0.921052631578947
10,10,"Adjusted (direct FDR<0.05)",0.4,12,14,0.857142857142857
10,10,"Mediation (Direct class)",0.4,10,12,0.833333333333333
10,10,"Strict mediation",0,8,8,1
10,11,"Standard (total FDR<0.05)",0.8,15,19,0.789473684210526
10,11,"Adjusted (direct FDR<0.05)",0.6,13,16,0.8125
10,11,"Mediation (Direct class)",0.6,9,12,0.75
10,11,"Strict mediation",0,2,2,1
10,12,"Standard (total FDR<0.05)",1,22,27,0.814814814814815
10,12,"Adjusted (direct FDR<0.05)",0.4,18,20,0.9
10,12,"Mediation (Direct class)",0.4,11,13,0.846153846153846
10,12,"Strict mediation",0,6,6,1
10,13,"Standard (total FDR<0.05)",0.8,21,25,0.84
10,13,"Adjusted (direct FDR<0.05)",0.8,18,22,0.818181818181818
10,13,"Mediation (Direct class)",0.4,11,13,0.846153846153846
10,13,"Strict mediation",0,6,6,1
10,14,"Standard (total FDR<0.05)",1,25,30,0.833333333333333
10,14,"Adjusted (direct FDR<0.05)",1,24,29,0.827586206896552
10,14,"Mediation (Direct class)",0.8,16,20,0.8
10,14,"Strict mediation",0,8,8,1
10,15,"Standard (total FDR<0.05)",1,12,17,0.705882352941177
10,15,"Adjusted (direct FDR<0.05)",0.6,6,9,0.666666666666667
10,15,"Mediation (Direct class)",0.6,4,7,0.571428571428571
10,15,"Strict mediation",0,2,2,1
